product_code,detail_desc
365439,Sports socks in fast-drying functional fabric with ventilating hole-knit sections over the feet. The polyester content of the socks is recycled.
382127,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm."
387348,"Running vest top in printed, fast-drying functional fabric."
387426,"Ultra-light running shorts in fast-drying, functional, breathable fabric with an elasticated waist and ventilating mesh sections in the sides. Concealed key pocket in the waistband, side pockets, short slits in the sides and reflective details. Lined. the shorts weigh 120 grammes in size M."
389388,"Sports gloves with mesh uppers, silicone stripes on the palms for optimum grip, and elasticated cuffs."
397807,"Lightly padded ski trousers in windproof, water-repellent, breathable functional fabric with a zip fly and press-studs and adjustable hook and loop tabs at the waist. Zipped side pockets, a flap back pocket with a hook and loop fastening, and shaping seams at the knees for best fit. Reinforced hems and snow flaps with reinforced elastication at the hems. Lined. Detachable, elasticated braces that cross at the back. The trousers have a water-repellent coating without fluorocarbons."
401902,"Thin running jacket in windproof, water-repellent functional fabric with reflective details. Hood with a small peak, zipped, diagonal chest pocket, and narrow elastication at the cuffs and hem. Slightly longer at the back. Mesh lining."
402361,"Ultra-light running vest in fast-drying, functional, breathable fabric with ultrasonic welded seams, a racer back and reflective details. Jacquard-patterned back and short slits in the sides. Slightly longer and rounded at the back. The vest weighs 63 grammes in size M."
403844,"Sports trousers in sweatshirt fabric with elastication and a concealed drawstring at the waist. Zipped side pockets, a mesh section at the crotch and wide ribbing at the hems."
404383,"Sports jacket in sturdy jersey with a mesh-lined hood, zip down the front and mesh panels at the back, sides and cuffs. Zipped pocket on one sleeve. Unlined. Size of sleeve pocket 12x16 cm."
404441,Tube scarf in thermal fleece. Length 19 cm at the back and 28 cm at the front.
421387,"Running top in fast-drying, breathable functional fabric with short raglan sleeves and reflective details. Regular fit."
421941,Sports top in fast-drying functional fabric with long raglan sleeves and a rounded hem. Slightly longer at the back. Regular fit.
424468,Sports tights in fast-drying functional fabric with an elasticated waist and reflective details. Brushed thermal inside.
424470,Long-sleeved sports top in fast-drying functional fabric with ventilating mesh sections at the sides and reflective details. Brushed thermal inside.
426609,"Short-sleeved, patterned sports top in fast-drying, breathable functional fabric. Regular fit. The polyester content of the top is recycled."
442344,"Running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist, a zipped key pocket on one hip, reflective details, ventilating mesh sections at the back of the knees and a zip at the hems."
442345,"Knee-length running shorts in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Ventilating mesh at the crotch, and zipped side pockets. Jersey inner shorts."
445901,"Running top in fast-drying, breathable functional fabric with a stand-up collar, zip and earphone outlet at the top, long raglan sleeves with ventilating mesh sections and thumbholes at the cuffs, and reflective details. Rounded and slightly longer at the back."
449099,Knee-length sports shorts in fast-drying functional fabric with elastication and a concealed drawstring at the waist and a key pocket in the waistband. Unlined. Regular fit.
449123,"Short-sleeved sports top in fast-drying, breathable functional fabric. Tight fit. The top is made from recycled polyester."
449555,"Sports tights in fast-drying, breathable, functional fabric with an elasticated waist."
449570,Sports top in fast-drying functional fabric with taped details and short raglan sleeves. Rounded and longer at the back.
449744,Sports bra in fast-drying functional fabric with a racer back in ventilating mesh and a wide elasticated hem. Medium support.
450056,3/4-length sports tights in fast-drying functional fabric with wide ribbing and a concealed key pocket in the waistband.
451556,"Long-sleeved running top in fast-drying, breathable functional fabric with a back section in ventilating mesh. Thumbholes at the cuffs and reflective details."
453988,Fitted sports top in fast-drying functional fabric with a racer back.
454196,Fitted sports top in fast-drying functional fabric with short raglan sleeves and ventilating mesh panels in the sides.
455925,"Sports top in breathable, functional fabric with a small stand-up collar and long sleeves. The polyester content of the top is recycled."
457491,"Winter running tights in fast-drying, breathable functional fabric with windproof sections on the legs and elastication and a concealed drawstring at the waist with a zipped key pocket at the back. Mesh sections at the crotch and back of the knees, a zip at the hems and reflective details. Brushed thermal inside."
458064,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Side pockets with a taped zip, concealed back pockets, elasticated hems and reflective details. Regular fit."
466381,Sports bra in fast-drying functional fabric with ventilating mesh details and lightly padded cups with removable inserts. Two elastic shoulder straps that cross at the back and elastic at the hem. Medium support.
466852,"Running tights in fast-drying, breathable functional fabric with reflective details. Elastication and a concealed drawstring at the waist, a zipped key pocket at one side, ventilating mesh sections at the back of the knees, and a zip at the hems."
466891,"Short running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist, a concealed mesh key pocket in the waistband and reflective details."
468666,Fully lined bikini bottoms with wide elastication at the waist.
472755,"Running gloves with uppers in windproof, functional fabric. Wide ribbing and a reflective print at the top. Small key pocket with a concealed zip on the back of one glove. The tops of the thumb and index finger are made from touchscreen-compatible material. Unlined."
475179,"Water bottle in stainless steel with a plastic screw cap with an eyelet and round carabiner hook. Diameter 6.5 cm, height 26.5 cm (including cap)."
475973,"Lightweight sports boxer shorts in fast-drying, breathable, functional fabric with an elasticated waist and slightly longer legs."
478004,"Sports shorts in fast-drying, breathable functional fabric with and elasticated drawstring waist and zipped side pockets. Unlined."
480059,Fine-knit trainer socks in fast-drying functional fabric with elastication around the top.
480121,Fine-knit trainer socks in fast-drying functional fabric with a slightly higher shaft at the heel for optimum comfort.
484398,Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Concealed mesh key pocket in the waistband.
484644,Yoga tights in fast-drying functional fabric with wide ribbing at the waist. Concealed mesh key pocket in the waistband and mesh sections on the legs.
484647,"Running tights in fast-drying functional fabric with an elasticated drawstring waist, concealed mesh key pocket in the waistband and a print motif on the legs."
490460,"Marled sports top in fast-drying, breathable functional fabric. Seamless."
492969,"Sports bra in fast-drying functional fabric with padded cups. Wide, adjustable shoulder straps, a racer back made up of narrow, crossover straps and an elastic hem. Extra firm support."
492971,"Seamless sports bra in fast-drying functional fabric with jacquard-patterned details. Lightly padded cups with removable inserts, adjustable shoulder straps, a racer back and wide trim at the hem. Light support."
493420,"Fully lined sports bra in fast-drying functional fabric with a racer back and moulded, padded cups that lift and shape while providing good support. Elasticated hem and a fastening at the back with two pairs of hooks and eyes. Medium support."
493421,Fully lined sports bra in fast-drying functional fabric with a racer back and elasticated hem. Seamless. Light support.
493425,Wide sports top in fast-drying functional fabric with short sleeves.
493432,Running vest top in fast-drying functional fabric with mesh sections and a racer back.
493753,"Fully lined sports bra in fast-drying functional fabric with a mesh detail at the top. Narrow shoulder straps, narrow crossover straps at the back and an elastic hem. Light support."
494327,Short-sleeved running top in fast-drying functional fabric with a print motif.
494414,"Sports top in soft, fast-drying functional fabric in a narrow cut at the top with short, thin shoulder straps and deep armholes. Loose-fitting."
494428,Fitted sports top in fast-drying functional fabric with jacquard-patterned details. Long raglan sleeves with mesh details. Seamless.
495949,"Sturdy, fully lined sports swimsuit with a visible zip with a long tab at the back for easy zipping and unzipping."
495953,"Gym gloves in mesh with lightly padded, reinforced palms for optimum grip and comfort, and a hook and loop tab at the wrists."
498619,"Running jacket in windproof, functional fabric with a hood, zip and wind flap with concealed press-studs down the front, and concealed front pockets with a zip. Long raglan sleeves with ventilating mesh sections and a partially loose yoke at the back. Reflective details. Unlined."
498620,"Outdoor jacket with light padding front and back in woven fabric and a lined hood. Zip down the front, zipped side pockets and long raglan sleeves with thumbholes at the cuffs. Lightly brushed thermal lining in the sleeves and sides. Partly lined."
498621,"Padded, gently tailored gilet with a lined drawstring hood, zip down the front, zipped side pockets and a concealed drawstring at the hem. Lined."
498674,"Sports trousers in fast-drying functional fabric with an elasticated drawstring waist, zipped side pockets, reflective details and ribbed hems."
498735,Sports tights in fast-drying functional fabric with an elasticated waist and 3/4-length legs.
498737,Sports tights in fast-drying functional fabric with wide ribbing at the waist.
498738,Printed sports tights in fast-drying functional fabric with ribbing at the waist.
498739,Sports tights in fast-drying functional fabric with 3/4-length legs and contrasting colour elastication at the waist.
498740,"Sports top in marled, fast-drying functional fabric with short raglan sleeves and visible seams."
498741,"Sports jacket in fast-drying functional fabric with a hood, zip down the front and front pockets."
498742,Wide sports top in fast-drying functional fabric with a print motif on the front and short cap sleeves.
498743,Fully lined sports top in fast-drying functional fabric with a crossover straps at the back and an elasticated hem.
498744,"Sports top in fast-drying functional fabric with a lined front, mesh racer back and elasticated hem."
498793,Sports top in fast-drying functional fabric with a racer back.
498794,Fully lined V-neck sports top in fast-drying functional fabric with narrow shoulder straps that join at the back and an elasticated hem.
499359,Jersey sports top with a print motif on the front and narrow elastication and a decorative bow at the hem.
500771,Running tights in fast-drying functional fabric with wide ribbing with a concealed drawstring at the waist. Zipped key pocket at the back and reflective details.
500780,Yoga tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Mesh key pocket in the waistband.
500814,Sports tights in fast-drying functional fabric with an elasticated waist and mesh sections. Seamless.
500992,"Jersey sports jacket with a brushed thermal inside, lined hood and long raglan sleeves with taped details. Zip down the front, side pockets and ribbing with thumbholes at the cuffs."
501807,"3/4-length sports trousers in fast-drying, marled functional fabric with an elasticated drawstring waist, side pockets and ribbed hems."
501880,"Sports trousers in sturdy jersey with an elasticated drawstring waist, side pockets and tapered legs with zipped pockets and wide ribbing at the hems."
501882,Sports tights in fast-drying functional fabric with and elasticated waist and a jacquard-patterned section on the legs. Seamless.
501892,Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist. Concealed mesh key pocket in the waistband.
501914,"Shell jacket in windproof, breathable functional fabric with taped seams, waterproof zips and a hood with a reinforced peak and elasticated drawstring. Zip down the front, zipped side pockets and zips at both sides that open for ventilation. Snow flaps with reinforced elastication and adjustable press-stud fastenings at the waist, and an adjustable hook and loop tab at the cuffs. Slightly longer at the back. Unlined. The jacket has a water-repellent coating without fluorocarbons."
501915,"Padded ski jacket in windproof, water-repellent breathable functional fabric with closed seams at critical points, a lined hood with a peak and elastic drawstring, and a zip down the front. Side pockets, a chest pocket, zipped lift pass pocket and two inner pockets, one with a zip and the other in mesh. Snow flap with reinforced elastication and press-studs at the waist, an adjustable hook and loop tab at the cuffs, and an elastic drawstring at the hem. Lined. The jacket has a water-repellent coating without fluorocarbons."
501921,"Stretch outdoor trousers in water-repellent, breathable functional fabric with a zip fly, press-stud, and hook and loop fastening. Side pockets, a zipped leg pocket and reinforced hems."
501923,"Shell trousers in windproof, breathable functional fabric with taped seams and waterproof zips. Adjustable hook and loop tab at the sides, a zip fly with press-studs, and zipped side pockets. Shaped legs with seams at the knees for optimum mobility and reinforced hems with snow flaps and reinforced elastication. Unlined. The trousers have a water-repellent coating without fluorocarbons."
501924,"Padded ski trousers in windproof, water-repellent, breathable functional fabric with an adjustable waist with a hook and loop tab at the sides, press-studs and a zip fly. Diagonal pockets, closed seams at critical points, knee patches, reinforced hems and snow flaps with reinforced elastic at the hems. Lined. The trousers have a water-repellent coating without fluorocarbons."
501926,"Soft shell trousers in water-repellent, breathable functional fabric with elastic at the back of the waist and a zip fly with press-studs. Extended waistband with a hook-and-loop fastening, zipped side pockets and reinforced hems. Slim fit with flared legs."
502175,"Sports trousers in fast-drying functional fabric with an elasticated waist, zipped side pockets and reflective details. Tapered legs with mesh stripes down the sides in a contrasting colour and a zip at the hems."
502176,"Sports trousers in fast-drying functional fabric with an elasticated waist, zipped side pockets and reflective details. Tapered legs with mesh stripes down the sides in a contrasting colour and a zip at the hems."
502222,Short-sleeved sports top in fast-drying functional fabric with a print motif and reflective details.
502223,Short-sleeved sports top in fast-drying functional fabric with a print motif and reflective details.
502660,Sports socks in fast-drying functional fabric with a ribbed shaft and ribbed section over the foot for optimum fit and comfort.
505516,"3/4-length sports trousers in fast-drying functional fabric with an elasticated drawstring waist and wide, ribbed hems."
506177,Wide hairband in fast-drying functional fabric with reflective details. Width 9 cm.
506408,"Sports trousers in fast-drying fabric with an elasticated waist, pockets in the side seams, tapered legs and reflective details."
506410,"Sports set with a sports top and pair of sports shorts in fast-drying, functional fabric. Short-sleeved top with a print motif on the front. Shorts with an elasticated drawstring waist."
506411,"Sports set with a short-sleeved top and shorts in fast-drying, functional fabric. Top with a print motif on the front and reflective details. Shorts with an elasticated drawstring waist."
506412,"Lightweight, unlined sports socks in fast-drying functional fabric with a short, ribbed shaft."
506413,"Cylindrical sports bag in woven fabric with coated details and a print motif. Zip at the top, two handles that can be joined together with a hook and loop fastening and an adjustable shoulder strap. Lined. Size 24x40 cm."
506414,Reversible jersey hats with reflective details on one side.
507674,Block-coloured sports tights in fast-drying functional fabric with an elasticated waist and reflective details.
507706,"Running tights in fast-drying functional fabric with a brushed thermal inside, elastication and a concealed drawstring waist, a zipped key pocket at the back and a zip at the hems. Reflective details."
507799,"Short-sleeved sports top in fast-drying, breathable functional fabric. Slight V-neck and ventilating mesh sides."
508293,Block-coloured tri suit in fast-drying functional fabric in a narrow cut at the top. Deep neckline at the back with a horizontal elastic strap across the top.
508323,Sports bra in fast-drying functional fabric with a racer back in ventilating mesh and a wide elasticated hem. Medium support.
508640,"Sports shorts in sturdy jersey with taped details, an elasticated drawstring waist and side pockets."
509732,"Vest top in fast-drying, breathable functional fabric with a print motif on the front and contrasting colour details. Regular fit."
509893,"Sleeveless sports top in jersey with a mesh-lined hood with a drawstring and collar, and a rounded hem."
511569,"Sports tights in fast-drying functional fabric with wide ribbing to hold in and shape the waist, and a lace pattern at the knees."
511651,"Running gloves with uppers in windproof, functional fabric and ribbed cuffs. The tops of the thumb and index finger are made from touchscreen-compatible material."
511653,"Headband in soft, thermal fleece. Width 6 cm at the front, 10 cm at the back."
511663,Hat in soft thermal fleece.
511940,"Fine-knit trainer socks with a ribbed section over the foot and slightly higher shaft at the heel for optimum fit. Reinforced heel and toe for perfect, friction-free comfort."
512972,Sports tights in fast-drying functional fabric with elastication and a concealed drawstring at the waist. Print motif and reflective details on the legs.
513512,"Parka in a sturdy weave with a drawstring hood with a fleece lining at the front. Zip and wind flap with a hook-and-loop fastening at the front, handwarmer pockets and patch pockets with a flap and hook-and-loop fastening. Adjustable tab with a hook-and-loop fastening at the cuffs and sides and a drawstring at the hem. Slightly longer at the back. Unlined."
514810,"Short-sleeved, printed running top with a jersey front and back made from ventilating mesh. Taped details, taped ventilation holes under the arms, and a rounded hem. Slightly longer at the back."
516898,Sports shorts in fast-drying mesh with an elasticated drawstring waist and short slits in the hems.
516900,Sports shorts in fast-drying functional fabric with an elasticated drawstring waist and reflective detail.
518131,"Cap with a terry sweatband inside, adjustable fastener at the back and reflective details."
518158,"Short running shorts in fast-drying, breathable functional fabric. Elasticated waist with a concealed drawstring and soft mesh inner shorts with a key pocket."
519584,"Sports jacket in fast-drying functional fabric with a lined, drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem."
519975,"Hat in a soft, textured-knit wool blend with a thermal fleece trim on the inside."
521846,"Outdoor trousers in fast-drying functional fabric. Elasticated waist, zipped side pockets and tapered legs with a zip and ribbing at the hems."
522508,"Yoga jumpsuit in fast-drying functional fabric with narrow shoulder straps, a decorative hole pattern at the top and a racer back. Seam at the waist with an opening and sewn-in lacing at the hems."
523404,"Short sports shorts in fast-drying, breathable mesh with an elasticated waist and side pockets. Unlined."
523998,Sports tights in fast-drying functional fabric with wide ribbing that holds in and shapes the waist and a concealed key pocket in the waistband.
524486,Sports socks in fast-drying functional fabric with a high ribbed shaft with an intarsia motif and elastication at the top.
524718,"Thin running jacket in fast-drying, breathable, patterned functional fabric. Mesh-lined hood with a collar, taped zip at the front, ventilating mesh back, sleeve pocket with a concealed zip and taped reflective details."
524719,"Running top in fast-drying, breathable functional fabric with a print pattern on the front and taped details. Twisted side seams, mesh back, rounded hem and reflective details. Slightly longer at the back."
524834,"Fitted fleece jacket designed to be worn as a thermal mid layer. The jacket has a hood, zip down the front, zipped side pockets and thumbholes at the cuffs. Unlined."
524959,"Jersey sports top in a stretch cotton blend with taped details. Lined drawstring hood with a wrapover front, long raglan sleeves with ribbed cuffs, a rounded hem and reflective details. Zipped pocket on one side and a high zip on the other. Slightly longer at the back."
525345,"Sports jacket in sturdy, double-layer jersey with a mesh-lined hood with an elastic drawstring. Chest pocket with a concealed zip, side pockets, a drawstring at the hem and ribbing at the cuffs. Narrow elastication at the hem and reflective details. Unlined. Size of chest pocket 14x26cm."
527358,"Sports bra in fast-drying functional fabric with a scuba fabric front. Zip at the front, wide crossover shoulder straps and mesh sides."
527551,"Sports armband with a touchscreen window for smartphones, adjustable hook and loop fastening and earphone outlet at the top and bottom. Silicone trim on the back to hold the armband in place. Fits smartphones up to 7x14 cm in size."
528383,Yoga socks in jersey with mesh fronts and anti-slip protectors on the soles.
528560,"Tube scarf in patterned jersey that can also be used as a headband. Length 45 cm, circumference 50 cm."
528568,"Outdoor jacket in sweatshirt fabric with a hood, zip down the front and side pockets with a contrasting colour zip. Long raglan sleeves with ribbed cuffs, and a ribbed hem."
529035,"Sports bra in fast-drying functional fabric with lined cups with removable inserts, narrow adjustable shoulder straps and a racer back with mesh detail. Wide elastic at the hem. Light support."
529652,"Sports bra in printed, fast-drying functional fabric with a mesh racer back, padded cups with removable inserts and an elasticated hem. Medium support."
530345,"Lightly padded gilet in water-repellent, windproof functional fabric with a small stand-up collar and taped zip down the front. Side pockets with a taped zip, and a drawstring at the hem. Lined. Polyester filling."
530928,Jersey headband with a soft fleece inside.
531665,"Sports vest top in fast-drying functional fabric with narrow, overlocked edges around the armholes and hem. Slightly longer and rounded at the back."
533388,"Running top in fast-drying, breathable functional fabric with short raglan sleeves, hole-patterned sections at the sides and reflective details."
533393,"Running tights in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Zipped key pocket at one hip, reflective details, and legs with ventilating mesh sections at the back of the knees and a zip at the hems."
533401,"Lightly padded, quilted jacket with a lined hood. High collar, zip down the front, chest pocket and zipped side pockets. Lined."
533403,"Lightly padded, thermal gilet with a lined hood, zip down the front, side pockets and a zipped chest pocket. Lined."
533404,"Sporty jacket in sturdy jersey with a zip down the front and a mesh-lined hood with an elastic drawstring. Chest pocket with a concealed zip, side pockets, ribbed cuffs and narrow elastication at the hem."
533406,"Sports joggers in sturdy sweatshirt fabric with an elasticated drawstring waist, taped details and side pockets. Tapered legs with shaping seams at the knees for extra mobility and wide ribbed hems."
533407,"Sports trousers in nylon with an elasticated drawstring waist, side pockets and one welt back pocket. Legs with elastication and a zip at the hems. Reflective details."
533491,Plastic water bottle with a non-drip lid and handle at the top. Capacity 750 ml.
533932,Sleeveless sports top in fast-drying functional fabric with slits in the sides.
534014,Yoga jumpsuit in fast-drying functional fabric with wide shoulder straps that cross at the back and a lined bust with removable inserts. Seam at the waist with a cut-out section at the front and 3/4-length legs with long ties at the hems that tie around the calves.
534071,"Boxer shorts in stretch, fast-drying, breathable, functional fabric with wide elastication at the waist and slightly longer legs."
534082,"Long-sleeved running top in fast-drying functional fabric with a stand-up collar, twisted seams at the front and long raglan sleeves with thumbholes at the cuffs. Reflective details."
534118,"Sports top in sturdy, fast-drying functional fabric with a stand-up collar, zip at the top, decorative seams and long raglan sleeves."
539143,"Padded jacket in woven fabric with a sheen. Lined hood with a collar and drawstring, taped zip down the front, side pockets with taped zips and a zipped inner pocket. Polyester filling. Lined."
541569,Fitted sports vest top in fast-drying functional fabric with a racer back.
542672,Fitted sports top in fast-drying functional fabric with long sleeves and decorative hole patterns. Seamless.
543074,"Wide sports top in fast-drying functional fabric with short sleeves, a print motif on the front and decorative crossed straps at the back."
543544,"Sports trousers in sturdy sweatshirt fabric with taped details and an elasticated drawstring waist. Side pockets, flap leg pockets with a pleat and ribbed hems."
543548,"Jacket in sturdy jersey with quilted sections at the top and on the sleeves. Mesh-lined hood with an elasticated drawstring, zip down the front, side pockets with a concealed zip and ribbing at the cuffs and hem. Unlined."
546289,Sports tights in fast-drying functional fabric with mesh sections and an elasticated waist with a concealed key pocket in the waistband.
548059,"Sports jacket in nylon with a stand-up collar, zip down the front and reflective details. Side pockets with a hook and loop fastening, and elastication at the cuffs and hem. Mesh lining."
548335,"Loose-fitting sports top in fast-drying functional fabric with a print motif on the front, short cap sleeves and slits in the sides of the hem."
550428,Sports vest top in fast-drying functional fabric with a racer back.
551174,Loose-fitting sports top in fast-drying functional fabric with a racer back.
551515,"Fine-knit trainer socks with a ribbed section over the foot and slightly higher shaft at the heel for optimum fit. Reinforced heel and toe for perfect, friction-free comfort."
551614,"Sports trousers in fast-drying mesh with an elasticated drawstring waist, side pockets, and legs with side panels and ribbed hems."
551943,Sports bra in fast-drying functional fabric with a fully lined front and double shoulder straps that cross at the back. Light support.
552200,"Sports tights in fast-drying functional fabric with a print on the legs, wide elastication at the waist and concealed key pocket in the waistband."
552529,"Patterned running tights in fast-drying, breathable functional fabric with an elasticated drawstring waist, small zipped pocket at the back and a zip at the hems."
552538,"Sports shorts in fast-drying functional fabric with ventilating mesh sections at the crotch, back and sides. Elastication and a concealed drawstring at the waist and zipped side pockets."
552667,"Short-sleeved sports top in printed, fast-drying functional fabric."
552711,"Running top in fast-drying functional fabric with a collar and drawstring hood, long raglan sleeves with thumbholes at the cuffs and reflective details."
552788,"Short running shorts in fast-drying functional fabric. Elastication and a concealed drawstring at the waist, side pocket with a concealed zip and reflective details. Lined."
553203,"Sports tights in fast-drying, breathable, functional fabric with an elasticated waist."
553251,"Short-sleeved sports top with a jersey front, mesh back and sleeves with mesh sections at the armholes. Slightly longer at the back."
553271,"Sports trousers in fast-drying, functional fabric with an elasticated drawstring waist, zipped side pockets and tapered legs with elasticated hems."
554528,"Jacket in fast-drying functional fabric with a lined hood and raglan sleeves in woven fabric. Zip down the front, side pockets and reflective details. Unlined."
554529,"Jacket in fast-drying functional fabric with a lined hood and raglan sleeves in woven fabric. Zip down the front, side pockets and reflective details. Unlined."
554533,"Sports trousers in fast-drying, functional fabric with an elasticated drawstring waist and side pockets. Legs with taped details and ribbed hems. Soft brushed inside."
554534,"Sports trousers in fast-drying, functional fabric with an elasticated drawstring waist and side pockets. Legs with taped details and ribbed hems. Soft brushed inside."
554536,"Sports trousers in printed, fast-drying functional fabric with an elasticated drawstring waist, side pockets and ribbed hems."
554552,Short-sleeved football shirt in fast-drying functional fabric with print motifs front and back.
554554,"Fine-knit, knee-high football socks in fast-drying functional fabric with elastication at the top and ankle."
554555,Knee-length football shorts in fast-drying functional fabric with an elasticated drawstring waist and a print motif on one leg. Unlined.
555102,"Loose-fitting sports top in fast-drying functional fabric with an integral sports bra and a racer back. Sports bra with a double layer of fabric at the front, elasticated hem and opening at the back with crossover straps."
555340,Jersey cap in a cotton blend with an inner terry sweatband and an adjustable plastic fastener at the back.
555640,Sports bra in fast-drying functional fabric with a racer back in ventilating mixed mesh and a wide elasticated hem. Medium support.
556144,"Outdoor shorts in slightly stretchy, water-repellent, functional fabric with side pockets and a zipped leg pocket. Zip fly and press-studs and inset stretch jersey at the crotch for optimum movement and comfort. The shorts have a water-repellent coating without fluorocarbons."
558243,Sports tights in fast-drying functional fabric with wide elastication at the waist and jacquard-patterned details. Seamless.
558244,"Sports tights in fast-drying functional fabric with a wide ribbed waistband containing a concealed key pocket, and legs with ventilating hole-patterned sections and ribbed hems."
558246,Sports tights in fast-drying functional fabric with a wide waistband with a concealed key pocket. The polyester content of the tights is recycled.
558248,"Running tights in fast-drying functional fabric with elastication and a concealed drawstring at the waist, a zipped key pocket at the back and legs with reflective print motifs and ventilating mesh sections at the hems."
558282,"Running jacket in windproof functional fabric with a high stand-up collar with elasticated drawstring, a zip down the front and long sleeves with elasticated cuffs. Zipped side pockets, a seam at the waist with an elasticated drawstring at the back and reflective details."
558402,Elastic hairbands in various colours with silicone on the inside to hold the hair in place. Width 1 cm.
558407,Ankle-length yoga tights in fast-drying functional fabric with wide ribbing at the top that holds in and shapes the waist. Concealed key pocket in the waistband and legs with sheer sections.
558414,"High-waisted sports tights in sturdy, fast-drying, functional fabric with a sculpting effect on the waist, hips, seat and thighs. Taped seams on the outside of the legs and a wide waistband with a concealed key pocket."
558417,Sports trousers in fast-drying functional fabric in a slim fit at the top. Wide waistband with a concealed key pocket and straight legs with drawstring hems.
558787,"Fully lined sports top in fast-drying functional fabric with a print motif on the front, narrow shoulder straps that cross at the back and an elastic hem."
558788,"Short, wide, short-sleeved sports top in printed, fast-drying mesh layered over a vest top with a racer back."
558817,Sports tights in fast-drying functional fabric with a contrasting colour elasticated waistband and 3/4-length legs.
559862,Hat in a soft rib knit with a glittery appliqué at the front.
560270,"Fitted, lightweight outdoor jacket in fast-drying thermal fleece with a hood, zip down the front, zipped side pockets and extra long sleeves with thumbholes."
561064,"Ankle-length sports tights in fast-drying functional fabric with a wide ribbed waistband containing a concealed key pocket, and legs with ventilating mesh sections."
561066,"Ankle-length running tights in fast-drying functional fabric with a concealed drawstring and concealed key pocket in the waist, and legs with ventilating mesh sections and a zip at the hems.."
561067,Sports tights in fast-drying functional fabric with a ribbed waistband and mesh sections on the legs. Integral key pocket in the waistband.
561083,"Thin sports trousers in fast-drying functional fabric with an elasticated drawstring waist, zipped side pockets and jersey sections at the hems."
561086,"Knee-length sports shorts in fast-drying functional fabric with an elasticated drawstring waist, side pockets and a print motif on one leg. Unlined."
561090,"Knee-length sports shorts in fast-drying functional fabric with an elasticated drawstring waist, side pockets and a print motif on one leg. Unlined."
